datetime,Media_Volume_Intensity_Education,Media_Volume_intensity_Enterprise,Media_Volume_intensity_Financial_inclusion,Media_Volume_intensity_Health_Service,Media_Volume_intensity_Inclusive_Growth,Media_Volume_intensity_Social_inclusion,Media_Average_tone_Education,Media_Average_tone_Enterprise_Development,Media_Average_tone_Financial_Inclusion,Media_Average_tone_Health_Service,Media_Average_tone_Inclusive_Growth,Media_Average_tone_Social_inclusion
2017-03-31 00:00:00+00:00,0.0070210526315789,0.0015421052631578,0.0011947368421052,0.0993947368421052,0.0038999999999999,0.0498105263157894,-17.563031578947374,13.220342105263155,9.461263157894738,-16.570685,10.93603157894737,4.908178947368422
2017-06-30 00:00:00+00:00,0.0076052631578947,0.0021210526315789,0.0015578947368421,0.1242631578947368,0.0107421052631578,0.0548842105263157,-8.580194736842103,11.4159,7.739247368421053,-38.26781999999999,11.365705263157896,11.341052631578949
2017-09-30 00:00:00+00:00,0.0076631578947368,0.0022210526315789,0.0018631578947368,0.1004473684210526,0.0035736842105263,0.0450368421052631,-6.696100000000001,9.1655,11.306036842105264,-23.931685,10.545652631578948,5.991052631578948
2017-12-31 00:00:00+00:00,0.0088736842105263,0.0033842105263157,0.0020947368421052,0.1036684210526315,0.0056578947368421,0.0564052631578947,-9.745789473684212,14.696552631578951,13.578763157894738,-20.055175,16.68791052631579,14.22468421052632
2018-03-31 00:00:00+00:00,0.0083473684210526,0.0027578947368421,0.0020157894736842,0.1106842105263157,0.0035263157894736,0.0500105263157894,-8.925184210526316,12.001463157894738,12.554394736842108,-22.993005,6.791052631578946,12.303768421052633
2018-06-30 00:00:00+00:00,0.0090210526315789,0.0019526315789473,0.0018947368421052,0.1110473684210526,0.0057,0.0618052631578947,-4.888752631578948,10.288110526315789,10.2467,-14.204035,14.032847368421052,14.982410526315793
2018-09-30 00:00:00+00:00,0.0092526315789473,0.0012263157894736,0.0018473684210526,0.1077684210526315,0.004178947368421,0.0453263157894736,-12.572910526315786,8.907494736842105,12.12892105263158,-26.353910000000003,12.744031578947368,12.709926315789476
2018-12-31 00:00:00+00:00,0.0121105263157894,0.0024210526315789,0.0031526315789473,0.1310210526315789,0.0048631578947368,0.068878947368421,-7.269405263157895,17.029105263157895,16.55236842105263,-6.93098,14.330331578947373,14.245947368421051
2019-03-31 00:00:00+00:00,0.0093263157894736,0.0024368421052631,0.0022052631578947,0.1360210526315789,0.0027210526315789,0.0656999999999999,1.789173684210526,16.8083,11.91502105263158,-17.058460000000004,10.574600000000002,16.18466842105263
2019-06-30 00:00:00+00:00,0.0086105263157894,0.0019526315789473,0.0030315789473684,0.1250105263157894,0.0052368421052631,0.0620052631578947,-0.7592842105263161,14.319810526315791,12.213915789473685,-13.686069999999996,11.424831578947368,22.88353684210527
2019-09-30 00:00:00+00:00,0.0091736842105263,0.0020368421052631,0.0033999999999999,0.1227421052631579,0.0041368421052631,0.051057894736842,-4.348668421052631,15.95537368421053,12.646947368421054,-13.86152,11.161663157894736,13.271652631578949
2019-12-31 00:00:00+00:00,0.0112052631578947,0.0017157894736842,0.0030526315789473,0.1601105263157894,0.0036526315789473,0.0650315789473684,-12.9505,12.48652105263158,16.580921052631577,-15.042269999999998,11.097231578947367,12.558194736842106
2020-03-31 00:00:00+00:00,0.010378947368421,0.0021421052631578,0.0021421052631578,0.3363105263157894,0.0039421052631578,0.0529263157894736,-10.287015789473683,10.480968421052632,11.636894736842104,-60.79729,6.314052631578947,9.2782
2020-06-30 00:00:00+00:00,0.0112315789473684,0.0013052631578947,0.0017052631578947,0.4186842105263157,0.002778947368421,0.0521999999999999,-18.78465789473684,7.852310526315788,9.105315789473684,-71.02571499999999,4.502547368421053,-5.740399999999998
2020-09-30 00:00:00+00:00,0.0104999999999999,0.0013105263157894,0.0024684210526315,0.2693052631578947,0.0035421052631578,0.0552157894736842,-14.174352631578945,9.217505263157896,8.152031578947367,-53.03796,6.915215789473684,5.578536842105262
2020-12-31 00:00:00+00:00,0.0104157894736842,0.0018999999999999,0.0034157894736842,0.3635368421052631,0.0043947368421052,0.0661368421052631,-8.723015789473685,8.487905263157893,13.99815789473684,-52.31729,8.531657894736844,12.50036842105263
2021-03-31 00:00:00+00:00,0.012357894736842,0.0021315789473684,0.002678947368421,0.326742105263158,0.0032684210526315,0.0613105263157894,-21.9743,9.554278947368422,9.818847368421054,-48.795215,5.45451052631579,13.544710526315791
2021-06-30 00:00:00+00:00,0.0120631578947368,0.0016315789473684,0.0050526315789473,0.2591631578947369,0.005678947368421,0.0761947368421052,-9.858952631578946,11.39867894736842,12.045157894736844,-36.23519,7.868084210526317,19.75629473684211
2021-09-30 00:00:00+00:00,0.0160736842105263,0.0022157894736842,0.0043157894736842,0.2581736842105263,0.0048473684210526,0.0627315789473684,-16.258563157894734,14.20186842105263,10.857073684210526,-44.64418499999999,6.301842105263157,26.202821052631588
2021-12-31 00:00:00+00:00,0.0163684210526315,0.0018999999999999,0.0040631578947368,0.3002263157894736,0.0047684210526315,0.0825263157894736,-13.815189473684208,10.209047368421052,12.547515789473689,-46.88816,11.07635789473684,24.610847368421048
2022-03-31 00:00:00+00:00,0.0153263157894736,0.0022894736842105,0.0065999999999999,0.2154421052631579,0.0032052631578947,0.0548210526315789,-10.410326315789474,11.282626315789472,6.171247368421056,-35.26455,8.563536842105263,16.335015789473683
2022-06-30 00:00:00+00:00,0.0110105263157894,0.0023894736842105,0.0033631578947368,0.1652263157894736,0.004378947368421,0.0684210526315789,-1.5139684210526312,13.13224210526316,11.368615789473685,-22.132440000000003,8.266015789473684,11.004710526315783
2022-09-30 00:00:00+00:00,0.0103421052631578,0.0017842105263157,0.0038421052631578,0.1543526315789473,0.004678947368421,0.0628157894736841,-6.246763157894734,10.19261052631579,6.153673684210526,-21.403360000000003,8.452436842105266,8.658884210526315
2022-12-31 00:00:00+00:00,0.0140210526315789,0.0026578947368421,0.0061368421052631,0.1935947368421052,0.0038157894736842,0.0743157894736841,-5.231131578947369,12.926415789473683,12.143363157894738,-16.900389999999998,7.01732105263158,25.34453684210526
2023-03-31 00:00:00+00:00,0.0094421052631578,0.0024421052631578,0.0042894736842105,0.1752368421052631,0.0034210526315789,0.0581315789473684,4.725599999999999,12.10421052631579,5.887231578947368,-16.338385,10.549894736842107,12.146242105263156
2023-06-30 00:00:00+00:00,0.0037421052631578,0.0013578947368421,0.0022947368421052,0.1570684210526315,0.0012684210526315,0.0973736842105262,1.1308526315789476,5.169678947368421,6.108757894736843,0.2373000000000017,3.1629210526315794,11.570926315789476
2023-09-30 00:00:00+00:00,0.0043105263157894,0.0015,0.0016684210526315,0.1464263157894737,0.0024999999999999,0.0879157894736842,6.79826842105263,5.491647368421053,6.391142105263159,-4.141405000000001,7.1252,13.351415789473684
2023-12-31 00:00:00+00:00,0.004378947368421,0.0020052631578947,0.0021473684210526,0.1838526315789473,0.0028999999999999,0.0947263157894736,3.1683210526315784,5.623384210526317,6.913615789473684,-11.454924999999998,5.254031578947369,18.91296842105263
